Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C9",CAPC1005X55N,6,100nF,C49678
"C10, C15",CAPC1005X55N,2,4.7uF,C49678
C14,CAPC1005X55N,1,100pF,C49678
"C16, C8",CAPC1005X55N,2,10uF,C49678
C17,CAPC1005X55N,1,0.1uF,C49678
"C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87",CAPC1608X90N,67,100nF,
"C6, C7",CAPC1005X55N,2,4.7uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D7, D8, D9",Diode_SOD-123,67,D_Small,
J1,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,Conn_01x02,
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,
J3,JST_SH_SM07B-SRSS-TB_1x07-1MP_P1.00mm_Horizontal,1,Conn_01x07,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED7, LED8, LED9",LED_SK6812MINI,67,LED_SK6812MINI,C5149201
"R1, R11, R12, R3, R5",RESC1005X40N,5,10k,
"R10, R6, R7, R8, R9",RESC1005X40N,5,4.7k,
R13,RESC1005X40N,1,1.2k,
R14,RESC1005X40N,1,100k,
"S1, S10, S11, S12, S13, S14, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S3, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S41, S42, S43, S44, S45, S46, S47, S48, S49, S5, S50, S51, S52, S53, S54, S56, S57, S6, S61, S64, S65, S66, S7, S71, S72, S8, S9",SW_MX_HS_CPG151101S11_1u,58,Keyswitch,
"S15, S28",SW_MX_HS_CPG151101S11_1.5u,2,Keyswitch,
"S30, S55",SW_MX_HS_CPG151101S11_1.75u,2,Keyswitch,
"S58, S59, S60, S62, S63",SW_MX_HS_CPG151101S11_1.25u,5,Keyswitch,
S67,STAB_MX_P_2u,1,MX_stab,
"S68, S69",STAB_MX_2.25u,2,MX_stab,
S70,STAB_MX_P_6.25u,1,MX_stab,
"SW1, SW2",Button_TL3342,2,SW_Push,
U1,SON50P200X200X80-9N,1,MAX17048G_T10,
U2,SOT-23-6,1,SRV05-4,C85364
U3,SON50P300X300X80-11N,1,IQS624-3200-DNR,
U4,XCVR_ESP32-S3-MINI-1-N8,1,ESP32-S3-MINI-1,
U5,ESOP-8_TPK,1,TPB4056A20-ES1R,
U6,LQFP-64_10x10mm_P0.5mm,1,STM32F103RETx,
